Server,IP ,domain
REBELSOLRJOB27,10.211.214.146,idrac.careerbuilder.com
REBELSOLRJOB28,10.211.214.147,idrac.careerbuilder.com
REBELSOLRJOB29,10.211.214.148,idrac.careerbuilder.com
rebelsolrjob3,10.211.214.122,idrac.careerbuilder.com
REBELSOLRJOB31,10.211.214.150,idrac.careerbuilder.com
REBELSOLRJOB32,10.211.214.151,idrac.careerbuilder.com
rebelsolrjob4,10.211.214.123,idrac.careerbuilder.com
rebelsolrjob5,10.211.214.124,idrac.careerbuilder.com
rebelsolrjob6,10.211.214.125,idrac.careerbuilder.com
rebelsolrjob7,10.211.214.126,idrac.careerbuilder.com
rebelsolrjob8,10.211.214.127,idrac.careerbuilder.com
REBELSOLRJOB9,10.211.214.128,idrac.careerbuilder.com
rebelsolrjobm1,10.211.214.101,idrac.careerbuilder.com
rebelsolrjobm2,10.211.214.102,idrac.careerbuilder.com
rebelsolrjobm3,10.211.214.103,idrac.careerbuilder.com
rebelsolrmsp2,10.211.106.146,idrac.careerbuilder.com
rebelsolrmsp4,10.211.106.148,idrac.careerbuilder.com
REBELSOLRONE03,10.211.106.168,idrac.careerbuilder.com
rebelsolrone03F8A6EB,10.211.106.168,idrac.careerbuilder.com
REBELSOLRONE04,10.211.106.169,idrac.careerbuilder.com
REBELSOLRONE05,10.211.106.170,idrac.careerbuilder.com
REBELSOLRONE06,10.211.106.171,idrac.careerbuilder.com
REBELSOLRONE07,10.211.106.172,idrac.careerbuilder.com
REBELSOLRONEM1,10.211.106.165,idrac.careerbuilder.com
REBELSOLRRES35,10.211.77.153,idrac.careerbuilder.com
rebelspace,10.211.15.93,idrac.careerbuilder.com
REBELVMHOST01,10.211.15.121,idrac.careerbuilder.com
REBELVMHOST02,10.211.15.122,idrac.careerbuilder.com
REBELVMHOST03,10.211.15.122,idrac.careerbuilder.com
REBELVMHOST04,10.211.15.117,idrac.careerbuilder.com
solarwindsdb,10.241.10.237,idrac.careerbuilder.com
sounda,10.241.110.76,idrac.careerbuilder.com
soundb,10.241.110.77,idrac.careerbuilder.com
telx-redpanda1,172.30.254.22,idrac.careerbuilder.com
testtest,10.240.18.100,idrac.careerbuilder.com
akira1,10.240.65.211,atl.careerbuilder.com
akira2,10.240.65.210,atl.careerbuilder.com
ATEDRONETEST01,10.198.55.2,atl.careerbuilder.com
bearbkp1-1,10.230.245.51,atl.careerbuilder.com
bearbkp1-2,10.230.245.52,atl.careerbuilder.com
bearbuildvm1,10.230.15.119,atl.careerbuilder.com
bearcl,10.230.65.251,atl.careerbuilder.com
beardeployvm1,10.230.15.96,atl.careerbuilder.com
beardns,10.230.77.106,atl.careerbuilder.com
BEARDRDOC1,10.230.215.51,atl.careerbuilder.com
beardrhost1,10.230.15.95,atl.careerbuilder.com
BEARDRWS1,10.230.205.53,atl.careerbuilder.com
BEARLOGIC1A,10.230.65.66,atl.careerbuilder.com
BEARLOGIC1B,10.230.65.67,atl.careerbuilder.com
BEARLOGIC2A,10.230.65.68,atl.careerbuilder.com
BEARLOGIC2B,10.230.65.69,atl.careerbuilder.com
BEARLS01,10.230.65.111,atl.careerbuilder.com
