datastore,path,file,size,moddate
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-test2k8-24/,greg-test2k8-24_1.vmdk,75161927680,11/30/2015 20:07
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k12-26/,greg-tst2k12-26.vmdk,64424509440,11/30/2015 20:16
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k12-26/,greg-tst2k12-26_1.vmdk,64424509440,11/30/2015 20:16
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k12-29/,greg-tst2k12-29.vmdk,64424509440,12/1/2015 12:09
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k12-29/,greg-tst2k12-29_1.vmdk,64424509440,12/1/2015 12:09
DEVAPP01_VOL1,[DEVAPP01_VOL1] greg-tst2k12-31/,greg-tst2k12-31.vmdk,64424509440,11/30/2015 14:31
DEVAPP01_VOL1,[DEVAPP01_VOL1] greg-tst2k12-31/,greg-tst2k12-31_1.vmdk,64424509440,11/30/2015 14:31
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-11/,greg-tst2k8-11.vmdk,75161927680,12/1/2015 12:17
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-11/,greg-tst2k8-11_1.vmdk,75161927680,12/1/2015 12:17
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-22/,greg-tst2k8-22.vmdk,75161927680,11/6/2015 16:10
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-22/,greg-tst2k8-22_1.vmdk,75161927680,11/6/2015 16:10
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k8-23/,greg-tst2k8-23.vmdk,75161927680,12/1/2015 12:55
DEVAPP01_VOL9,[DEVAPP01_VOL9] greg-tst2k8-23/,greg-tst2k8-23_1.vmdk,75161927680,12/1/2015 12:55
DEVAPP01_VOL10,[DEVAPP01_VOL10] greg-tst2k8-30/,greg-tst2k8-30.vmdk,75161927680,12/1/2015 13:02
