#TYPE Selected.VMware.Vim.GuestInfo
"HostName","ToolsVersionStatus"
"GHQVAUTH02.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefghrp5","guestToolsCurrent"
"RussellChefBox.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiintern1","guestToolsCurrent"
"GHQVCHISC03.atl.careerbuilder.com","guestToolsCurrent"
"GHQBLAST01B.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefghp3","guestToolsCurrent"
"GHQVCHIIMG01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpichefcora","guestToolsCurrent"
"GHQVREBDIO01.atl.careerbuilder.com","guestToolsCurrent"
"ghqpiauditfe02","guestToolsCurrent"
"GHQVREBSTAPI02.atl.careerbuilder.com","guestToolsCurrent"
"GHQVBATCHE01.atl.careerbuilder.com","guestToolsCurrent"
"GHQVAUTH03.atl.careerbuilder.com","guestToolsCurrent"
"GHQVBATCHF01.atl.careerbuilder.com","guestToolsCurrent"
"GHQBUILD2.cb.careerbuilder.com","guestToolsCurrent"
"ghqchipsbhive02","guestToolsCurrent"
"ghqchisolrres1","guestToolsCurrent"
"ghqqtwsolrjob1","guestToolsCurrent"
"ghqqtwsolrres1","guestToolsCurrent"
"ghqchisolrapi1","guestToolsCurrent"
"ghqqtwsolrapi1","guestToolsCurrent"
"ghqstdeploy","guestToolsCurrent"
"ghqstjenkins","guestToolsCurrent"
"ghqstartifact","guestToolsCurrent"
"ghqchisolrjob1","guestToolsCurrent"
"devcassweb2.atl.careerbuilder.com","guestToolsCurrent"
"devcassweb1.atl.careerbuilder.com","guestToolsCurrent"
"ghqrabbit3.atl.careerbuilder.com","guestToolsCurrent"
"ghqrabbit2.atl.careerbuilder.com","guestToolsCurrent"
"ghqqtwsolrjob2.atl.careerbuilder.com","guestToolsCurrent"
"ghqqtwsolrapi2.atl.careerbuilder.com","guestToolsCurrent"
"devcassweb4.atl.careerbuilder.com","guestToolsCurrent"
"ghqchisolrfst1","guestToolsCurrent"
"devcassweb3.atl.careerbuilder.com","guestToolsCurrent"
"ghqstbabel","guestToolsCurrent"
"ghqchisolrjob2.atl.careerbuilder.com","guestToolsCurrent"
"ghqqtwsolrres2","guestToolsCurrent"
"ghqstbootstrap","guestToolsCurrent"
"ghqqtwsolrfst1","guestToolsCurrent"
"ghqchisolrapi2.atl.careerbuilder.com","guestToolsCurrent"
"ghqstproxy01","guestToolsCurrent"
"ghqrabbit1.atl.careerbuilder.com","guestToolsCurrent"
"ghqstproxy02","guestToolsCurrent"
"ghqstintegration","guestToolsCurrent"
"GHQSTWINJENK.atl.careerbuilder.com","guestToolsCurrent"
"ghqsolrmirror","guestToolsCurrent"
"ghqchisolrres2","guestToolsCurrent"
"ghqchef01","guestToolsCurrent"
"mwub4261","guestToolsCurrent"
"mwcn042104","guestToolsCurrent"
,"guestToolsNotInstalled"
"MGMTCONTROLLER.cbtest.local","guestToolsNeedUpgrade"
"DEVVCTRTEST.cbtest.local","guestToolsNeedUpgrade"
"DEVVCMDR1.cbtest.local","guestToolsCurrent"
"DEVVCMDRSQL.cbtest.local","guestToolsNeedUpgrade"
"SP0001612207","guestToolsCurrent"
"devpxe1.atl.careerbuilder.com","guestToolsNeedUpgrade"
"ManEng-Patch.atl.careerbuilder.com","guestToolsNeedUpgrade"
"jsvcmdr01","guestToolsCurrent"
"GHQCLS.atl.careerbuilder.com","guestToolsCurrent"
"devhdchef1","guestToolsNeedUpgrade"
"devopscenter1.atl.careerbuilder.com","guestToolsCurrent"
,"guestToolsNotInstalled"
"testpxe2.atl.careerbuilder.com","guestToolsCurrent"
"Test4NewFormWin.atl.careerbuilder.com","guestToolsNeedUpgrade"
"ATEDRONE07.atl.careerbuilder.com","guestToolsCurrent"
"epsilon.atl.careerbuilder.com","guestToolsCurrent"
,"guestToolsNotInstalled"
"testspacem1.atl.careerbuilder.com","guestToolsCurrent"
"ORKINWEB1.atl.careerbuilder.com","guestToolsCurrent"
"ORKINWEB2.atl.careerbuilder.com","guestToolsCurrent"
"TESTPXE1.atl.careerbuilder.com","guestToolsCurrent"
"UBUNTURC7","guestToolsCurrent"
"DEVAPM01","guestToolsUnmanaged"
"ghqpsgraphite1","guestToolsCurrent"
"ATEDRONE00.atl.careerbuilder.com","guestToolsCurrent"
"CENTOSTEST01","guestToolsCurrent"
"ghqpsapitest1","guestToolsCurrent"
"DEVLM04.atl.careerbuilder.com","guestToolsCurrent"
"DEVAPM02","guestToolsUnmanaged"
"GHQWEB2008TEST1.atl.careerbuilder.com","guestToolsCurrent"
"CBTESTAD1.cbtest.local","guestToolsCurrent"
"TEST4NewFormLin.null","guestToolsNeedUpgrade"
"GHQJBLINUXTEST","guestToolsCurrent"
"ghqqtwpsbhive01","guestToolsCurrent"
"ghqpsbhive1","guestToolsCurrent"
"devpxe2.atl.careerbuilder.com","guestToolsCurrent"
"DEVDFS1.atl.careerbuilder.com","guestToolsCurrent"
"DEVLM03.atl.careerbuilder.com","guestToolsCurrent"
"ghqqtwpsbhive02","guestToolsCurrent"
"ubuntuTemplate","guestToolsNeedUpgrade"
"DEBIANTEMPLATE","guestToolsUnmanaged"
"CBTESTMG1.cbtest.local","guestToolsCurrent"
"computron.atl.careerbuilder.com","guestToolsCurrent"
"ghqpsstresstest","guestToolsCurrent"
"ghqiacpslg2","guestToolsCurrent"
"CBTESTAD2.cbtest.local","guestToolsCurrent"
"ghqpsjeeves","guestToolsCurrent"
,"guestToolsNotInstalled"
"CBDEVKMS.cbtest.local","guestToolsCurrent"
"DEVLM02.atl.careerbuilder.com","guestToolsCurrent"
"DEVLM01.atl.careerbuilder.com","guestToolsCurrent"
"DEVAD2.atl.careerbuilder.com","guestToolsCurrent"
"DEVAD1.atl.careerbuilder.com","guestToolsCurrent"
"testcass1.atl.careerbuilder.com","guestToolsNeedUpgrade"
"devcass3.atl.careerbuilder.com","guestToolsCurrent"
"devcass2.atl.careerbuilder.com","guestToolsCurrent"
"devcass1.atl.careerbuilder.com","guestToolsCurrent"
"DEVJEDI.atl.careerbuilder.com","guestToolsCurrent"
"DEVMSGDB2.atl.careerbuilder.com","guestToolsCurrent"
"DEVCTRLDB1.atl.careerbuilder.com","guestToolsCurrent"
"DEVMSGDB1.atl.careerbuilder.com","guestToolsCurrent"
"DEVMACE.atl.careerbuilder.com","guestToolsCurrent"
"DEVOBI.atl.careerbuilder.com","guestToolsCurrent"
"DEVSCDB2.atl.careerbuilder.com","guestToolsCurrent"
"DEVCB1SQL1.atl.careerbuilder.com","guestToolsCurrent"
"DEVCTRLDB2.atl.careerbuilder.com","guestToolsCurrent"
"DEVMONITORDB1.atl.careerbuilder.com","guestToolsCurrent"
"DEVSCDB1.atl.careerbuilder.com","guestToolsCurrent"
"DEVDBTFS.cb.careerbuilder.com","guestToolsCurrent"
"devcb1ci.atl.careerbuilder.com","guestToolsCurrent"
"devhd3m1.atl.careerbuilder.com","guestToolsCurrent"
"devhd1m1.atl.careerbuilder.com","guestToolsCurrent"
"devhdjk1.atl.careerbuilder.com","guestToolsCurrent"
"devhd2d1.atl.careerbuilder.com","guestToolsCurrent"
"devhd2m1.atl.careerbuilder.com","guestToolsCurrent"
"devhd1d1.atl.careerbuilder.com","guestToolsCurrent"
"devhd2d2.atl.careerbuilder.com","guestToolsCurrent"
"devhd1d2.atl.careerbuilder.com","guestToolsCurrent"
"DEVEKM1.atl.careerbuilder.com","guestToolsCurrent"
"qtmjapimms1.atl.careerbuilder.com","guestToolsCurrent"
"devstats.atl.careerbuilder.com","guestToolsCurrent"
"DEVVCTR1.atl.careerbuilder.com","guestToolsCurrent"
,"guestToolsNeedUpgrade"
"DEVBACKEND.atl.careerbuilder.com","guestToolsCurrent"
