"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"\\BEARWEB10","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","1/16/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB10","\Cycle","6/25/2016 2:34:00 AM","Ready","Interactive/Background","6/24/2016 2:34:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:34:00 AM","1/16/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC229","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/5/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC229","\Cycle","6/25/2016 3:06:00 AM","Ready","Interactive/Background","6/24/2016 3:06:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","3:06:00 AM","4/5/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC229","\Clean app pool","N/A","Ready","Interactive/Background","5/14/2015 11:15:00 AM","0","wboatin.site","D:\temp\versionedcleaner.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","One Time Only","11:15:00 AM","5/14/2015","N/A","N/A","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB57","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB57","\Cycle","6/25/2016 2:32:00 AM","Ready","Interactive/Background","6/24/2016 2:32:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:32:00 AM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBSOASRCHBAT01","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","9/20/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBSOASRCHBAT01","\Cycle","N/A","Disabled","Interactive/Background","8/7/2014 1:26:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:26:00 AM","9/20/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB43","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\BEARWEB43","\Cycle","6/25/2016 2:53:00 AM","Ready","Interactive/Background","6/24/2016 2:53:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","2:53:00 AM","2/6/2015","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC200","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","9/14/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC200","\Cycle","6/25/2016 1:00:00 AM","Ready","Interactive/Background","6/24/2016 1:00:00 AM","0","Administrator","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\mtusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:00:00 AM","9/14/2010","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBOMX02","\Grimreaper","N/A","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","akira","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/18/2014","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBOMX02","\Cycle","6/25/2016 1:04:00 AM","Ready","Interactive/Background","6/24/2016 1:04:00 AM","1","akira","C:\batch\cycle.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","CBATL\bossusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:04:00 AM","12/18/2014","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH11","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","alwhite.site","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","12/2/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\QTXBATCH11","\Cycle","N/A","Disabled","Interactive/Background","N/A","1","alwhite.site","C:\batch\cycle.bat ","N/A","N/A","Disabled","Disabled","Stop On Battery Mode, No Start On Batteries","cbatl\webusr","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","1:24:00 AM","11/15/2011","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
"\\CBASYNC224","\Grimreaper","6/24/2016 10:00:00 PM","Ready","Interactive/Background","6/23/2016 10:00:00 PM","0","Administrator","C:\batch\GrimReaper.bat ","N/A","N/A","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","Daily ","10:00:00 PM","4/6/2012","N/A","Every 1 day(s)","N/A","Disabled","Disabled","Disabled","Disabled"
